id,event_date,event_name,weight_class,winner,red_fighter,blue_fighter,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_age,blue_age,red_odds,blue_odds,red_avg_td_landed,blue_avg_td_landed,height_diff,reach_diff,avg_td_diff,red_win
121,2024-09-28,,Bantamweight,Red,Taylor Lapilus,Vince Morales,167.64,170.18,185.42,177.8,32,33,-360.0,285.0,0.27,0.36,-2.5400000000000205,7.619999999999976,-0.08999999999999997,1
122,2024-09-28,,Women's Bantamweight,Red,Ailin Perez,Daria Zhelezniakova,165.1,175.26,167.64,172.72,29,28,-245.0,200.0,5.36,0.8,-10.159999999999997,-5.0800000000000125,4.5600000000000005,1
123,2024-09-28,,Flyweight,Red,Daniel Barez,Victor Altamirano,167.64,172.72,167.64,177.8,35,33,105.0,-125.0,2.24,2.88,-5.0800000000000125,-10.160000000000025,-0.6399999999999997,1
124,2024-09-28,,Women's Bantamweight,Blue,Nora Cornolle,Jacqueline Cavalcanti,170.18,172.72,170.18,177.8,34,27,170.0,-205.0,0.39,0.0,-2.539999999999992,-7.6200000000000045,0.39,0
125,2024-09-28,,Lightweight,Blue,Bolaji Oki,Chris Duncan,177.8,177.8,185.42,180.34,28,31,-155.0,130.0,2.11,3.53,0.0,5.079999999999984,-1.42,0
126,2024-09-14,,Bantamweight,Blue,Sean O'Malley,Merab Dvalishvili,180.34,167.64,182.88,172.72,29,33,100.0,-120.0,0.29,6.09,12.700000000000017,10.159999999999997,-5.8,0
127,2024-09-14,,Women's Flyweight,Blue,Alexa Grasso,Valentina Shevchenko,165.1,165.1,167.64,167.64,31,36,-130.0,110.0,0.44,2.74,0.0,0.0,-2.3000000000000003,0
128,2024-09-14,,Featherweight,Blue,Brian Ortega,Diego Lopes,172.72,180.34,175.26,182.88,33,29,170.0,-205.0,1.07,0.5,-7.6200000000000045,-7.6200000000000045,0.5700000000000001,0
129,2024-09-14,,Lightweight,Blue,Daniel Zellhuber,Esteban Ribovics,185.42,177.8,195.58,175.26,25,28,-198.0,164.0,0.18,0.64,7.619999999999976,20.32000000000002,-0.46,0
130,2024-09-14,,Flyweight,Red,Ronaldo Rodriguez,Ode Osbourne,167.64,170.18,165.1,185.42,25,32,-205.0,170.0,1.13,1.21,-2.5400000000000205,-20.319999999999993,-0.08000000000000007,1
131,2024-09-14,,Women's Bantamweight,Blue,Irene Aldana,Norma Dumont,175.26,170.18,172.72,170.18,36,33,110.0,-130.0,0.15,1.72,5.079999999999984,2.539999999999992,-1.57,0
132,2024-09-14,,Lightweight,Blue,Manuel Torres,Ignacio Bahamondes,177.8,190.5,185.42,190.5,29,27,-130.0,110.0,2.26,0.0,-12.699999999999989,-5.0800000000000125,2.26,0
133,2024-09-14,,Women's Strawweight,Blue,Yazmin Jauregui,Ketlen Souza,160.02,160.02,162.56,160.02,25,30,-535.0,400.0,0.0,0.76,0.0,2.539999999999992,-0.76,0
134,2024-09-14,,Flyweight,Blue,Edgar Chairez,Joshua Van,170.18,165.1,180.34,165.1,28,22,225.0,-278.0,0.0,1.62,5.0800000000000125,15.240000000000009,-1.62,0
